id,name,status,candidates,best_score,best_source
0a85ecd4-5c50-4860-b012-f6780d7ed2d3,Omo National Park (Big Game Safari),review,14,0.645,wikipedia
0b2fc774-3a9b-4d36-8179-10da157097ac,Limalimo Lodge,failed,0,,
0a71af5a-b80e-43bd-91dd-060ce654e2b5,Woldiya Community Health Centers,failed,6,,
0a2a2811-9f5b-4f9a-8074-5e180fd06d45,Dek Island Ferry Terminal,review,9,0.795,wikipedia
0b7eda7d-dfb8-456d-b691-d6ce2890ed58,Jan Meda Racecourse & Sports Ground,failed,2,,
0b323a29-7996-4f3d-b524-51210f902bdd,Youth & Sports Academy Complex,failed,0,,
0b82fd83-fb1a-48cb-b8f4-141efbd9cac2,Lake Ashenge Boating Shore,review,10,0.795,wikipedia
0bb81add-f212-4fa1-a84c-03ac54cb7b4e,Gura Dhamole Desert Night Sky Encampment,failed,0,,
0a56edc3-e173-4766-863d-d602923659eb,Abebe Bikila Stadium Accessible Seating Gate,failed,1,,
0beb83f4-243e-4161-8657-8f7ce8b4d268,Babile Elephant Sanctuary Bush Trekking,review,4,0.595,wikipedia
