id,name,status,candidates,best_score,best_source
02890b20-0688-473d-98ed-09a1e4d3a042,Bishoftu Natural Hot Springs Wellness Retreats,failed,0,,
02327ceb-e29b-4d7e-8904-dd4c8f1c7944,Bishoftu Town Crater Lake City Circuit,failed,0,,
02c8223e-334d-47e5-b354-7fca28aada4f,Sheka Forest Biosphere Reserve,failed,12,,
032ca2c4-2e8c-4a0f-9b3e-0df565405328,Battlefield of Dogali Memorial Monument,failed,0,,
037f40de-3fe9-4a23-9b9e-bf17b49de895,Bebeka Coffee Estate,failed,0,,
0383471e-05bb-422a-872c-430f3ecf90b0,Bob Marley Statue & Imperial Square,failed,4,,
0255ec62-2fd1-40be-ac57-209276df35e9,Massacre Memorial of Wondo Genet,failed,0,,
039c265c-7824-4623-8e6a-455de2877896,Grand Palace Hotel Meeting Rooms,failed,15,,
03a350a1-6dbb-4dcb-a64a-20c725d254b9,Gondar City Center & Imperial Precincts,failed,7,,
03b49d09-289b-46f3-a0a6-911ce7e8b65c,Chebera Churchura National Park,review,15,0.678,wikidata
