id,name,geocode_status,resolution_level,anchor_approved,geocode_error,score,matched_query,city,region,lat,lng,matched_address,image_status,image_file,image_match_score,image_search,image_source,image_license,generated_update
10a673a7-4637-4406-b3ce-1ba3b0959686,Lake Babogaya Kayak & Boat Launches,existing,,False,,,,,,,,,no_match,,,,,,False
10aad439-21ab-49ae-bad6-cd8d0e02d12f,Teppi Coffee & Spice Plantation Estate,existing,,False,,,,,,,,,no_match,,,,,,False
10c92854-678b-4c37-9275-8d10f798aa6d,Entoto Planetarium Complex,existing,,False,,,,,,,,,no_match,,,,,,False
10cae156-391a-4c15-9fa6-2d9adfd70352,Gidole Terraces & Rural Hamlets,existing,,False,,,,,,,,,no_match,,,,,,False
113b58ce-45b5-4569-89d4-f5f7ca88df14,Kadisco General Hospital,existing,,False,,,,,,,,,no_match,,,,,,False
1199349e-9884-4cf4-9829-6629cbdc454a,Nechisar National Park Anti-Poaching Base,existing,,False,,,,,,,,,no_match,,,,,,False
11d5d687-cf9d-4d2e-80fa-c16dc4bc2d07,Sabana Beach Resort Main Level Pavilions,existing,,False,,,,,,,,,no_match,,,,,,False
123cfd93-3039-4f07-a333-891d1dae1ff3,Adama Central Commercial Market,existing,,False,,,,,,,,,no_match,,,,,,False
128ea5e5-e0c7-4b55-ab19-15fcaa579189,Masha Rainforest Honey Villages,existing,,False,,,,,,,,,no_match,,,,,,False
128fc595-bc5c-412c-9acb-c322347df6f3,Gorgora Eco-Resort Marina Complex,existing,,False,,,,,,,,,no_match,,,,,,False
12d7c2e5-6f22-407c-b6f5-f9d62a3f7e4f,Hyatt Regency Oasis Spa,existing,,False,,,,,,,,,no_match,,,,,,False
131993b4-a8b5-41cb-a8d1-5e2610dfd540,Bishoftu Lake Kilole Water Outpost,existing,,False,,,,,,,,,matched,destination-images/bishoftu-lake-kilole-water-outpost/cover.webp,0.5,kilole bishoftu,https://commons.wikimedia.org/wiki/File:Bishoftu_volcanic_field.jpg,Public domain,False
133d233e-e6d0-4a8e-803a-7a7b8b5bde07,Metu Town Center,existing,,False,,,,,,,,,no_match,,,,,,False
13e068c7-3d20-4a4e-b74b-3b403ab237a2,Abuna Yemata Guh Rock Climb,existing,,False,,,,,,,,,matched,destination-images/abuna-yemata-guh-rock-climb/cover.webp,0.6,Abuna Yemata Guh Rock Climb,https://commons.wikimedia.org/wiki/File:Abuna_Yemata_Guh_Monk.jpg,CC BY-SA 2.0,False
142fb748-0f18-4bf9-841b-11aa0b15611d,Gondar City Center Public Walkway,existing,,False,,,,,,,,,no_match,,,,,,False
146f6075-c877-4699-affe-e3d724587aa7,Dorze Eco-Lodge & Cultural Highlands,existing,,False,,,,,,,,,no_match,,,,,,False
148034e4-7fe4-4dad-8d25-5be713fff5fe,Yabello Borena Cattle Breeding Research Center,existing,,False,,,,,,,,,no_match,,,,,,False
14cd6748-c252-4f1d-af1b-7145c3d63012,Lalibela Church Street Craft & Cross Vendors,existing,,False,,,,,,,,,no_match,,,,,,False
14dcdb3b-f234-4f0e-9ddb-270c10ebcc13,Assab Road Historical Conflict Sites,existing,,False,,,,,,,,,no_match,,,,,,False
14f1955f-8954-4783-bac3-6c65d261f23b,Al-Nejashi Shrine,existing,,False,,,,,,,,,no_match,,,,,,False
14fcb4c1-abbd-41c3-b00f-cf1decb0777c,Lake Ziway Gelila Island Boat Trail,existing,,False,,,,,,,,,no_match,,,,,,False
151689f0-1345-4c94-8b5e-4cf3b59dfae8,Chebera Churchura National Park (African Elephants),existing,,False,,,,,,,,,no_match,,,,,,False
154e92cf-82ab-4022-9339-7a382efd7a69,Semera Afar Plain Astronomical Observation Sites,existing,,False,,,,,,,,,no_match,,,,,,False
155560ee-ef59-4e8f-9b0a-da01cfb2db33,Gerbi Natural Hot Springs Retreat,existing,,False,,,,,,,,,no_match,,,,,,False
15580d30-aaf4-41e6-8928-1b7ce0c5b9d7,Tomoca Coffee Original Shop,existing,,False,,,,,,,,,no_match,,,,,,False
15b19af3-fa80-42e8-a887-582c31528014,Gondar Saturday Market,existing,,False,,,,,,,,,no_match,,,,,,False
15d4cc48-4db3-4cbb-91c9-c60fa8b4dc57,Lewi Resort & Wellness Spa,existing,,False,,,,,,,,,no_match,,,,,,False
15f2bcde-0809-406f-8919-09b8f795e41a,Menz Mama Midir Wool Farming Hamlets,existing,,False,,,,,,,,,no_match,,,,,,False
160260ef-113c-4092-b084-b9344923802e,Bole Medhanealem Modern Fusion & Bistro Belt,existing,,False,,,,,,,,,no_match,,,,,,False
