id,name,geocode_status,resolution_level,anchor_approved,geocode_error,score,matched_query,city,region,lat,lng,matched_address,image_status,image_file,image_match_score,image_search,image_source,image_license,generated_update,image_approved
000b9cf0-b53f-4546-8840-ba364d586682,Cheshire Services Ethiopia Center,existing,,False,,,,,,,,,no_match,,,,,,False,False
00294e3d-1208-4208-a015-996c71cf9738,Gorgora Northern Lake Tana Dock,existing,,False,,,,,,,,,matched,destination-images/gorgora-northern-lake-tana-dock/cover.webp,0.667,gorgora tana,https://commons.wikimedia.org/wiki/File:ET_Amhara_asv2018-02_img033_Lake_Tana_at_Gorgora.jpg,FAL,True,True
0051e3e0-cdf6-4292-8b3f-55e0cf27bec7,Mentewab Palace Grounds,existing,,False,,,,,,,,,no_match,,,,,,False,False
00620588-4ca4-48fa-90d5-3eba0e18392b,Erta Ale Active Volcano Lava Hazards Field,existing,,False,,,,,,,,,matched,destination-images/erta-ale-active-volcano-lava-hazards-field/cover.webp,0.5,erta ale,https://commons.wikimedia.org/wiki/File:Erta-ale_lac-de-lave_2001.jpg,CC BY 2.5,True,True
007b0123-edb6-4112-8470-9c97d02e180a,Mount Belaya Wilderness Trek,existing,,False,,,,,,,,,no_match,,,,,,False,False
00e4f04e-be64-4f35-8e8f-41d59df6a948,Asella Referral Hospital,existing,,False,,,,,,,,,no_match,,,,,,False,False
0113fde5-2ea6-4aeb-965d-64901480d8c0,Jinka Urban Hub,existing,,False,,,,,,,,,no_match,,,,,,False,False
0172040d-afdc-49d2-a38e-f7c51cb36544,Assosa Bamboo & Mango Farms,existing,,False,,,,,,,,,no_match,,,,,,False,False
01a955e4-eb2e-4586-9b0d-5ab3c563c175,Kotebe Sports Education Center Complex,existing,,False,,,,,,,,,no_match,,,,,,False,False
022c139e-027b-4c2b-b90f-103bdcf0f824,Menz Guassa High-Altitude Pastoral Communities,existing,,False,,,,,,,,,no_match,,,,,,False,False
02327ceb-e29b-4d7e-8904-dd4c8f1c7944,Bishoftu Town Crater Lake City Circuit,existing,,False,,,,,,,,,matched,destination-images/bishoftu-town-crater-lake-city-circuit/cover.webp,0.5,bishoftu crater,https://commons.wikimedia.org/wiki/File:Goat_eating_leaves_near_Green_Crater_Lake_in_Bishoftu_December_2017.jpg,CC BY-SA 4.0,True,True
0255ec62-2fd1-40be-ac57-209276df35e9,Massacre Memorial of Wondo Genet,existing,,False,,,,,,,,,no_match,,,,,,False,False
02890b20-0688-473d-98ed-09a1e4d3a042,Bishoftu Natural Hot Springs Wellness Retreats,existing,,False,,,,,,,,,no_match,,,,,,False,False
02c8223e-334d-47e5-b354-7fca28aada4f,Sheka Forest Biosphere Reserve,existing,,False,,,,,,,,,no_match,,,,,,False,False
032ca2c4-2e8c-4a0f-9b3e-0df565405328,Battlefield of Dogali Memorial Monument,existing,,False,,,,,,,,,matched,destination-images/battlefield-of-dogali-memorial-monument/cover.webp,0.667,dogali monument,https://commons.wikimedia.org/wiki/File:Dogali_Monument.jpg,CC BY 2.0,True,True
037f40de-3fe9-4a23-9b9e-bf17b49de895,Bebeka Coffee Estate,existing,,False,,,,,,,,,no_match,,,,,,False,False
0383471e-05bb-422a-872c-430f3ecf90b0,Bob Marley Statue & Imperial Square,existing,,False,,,,,,,,,matched,,0.5,bob marley,https://commons.wikimedia.org/wiki/File:Bob_Marley_and_Che_Guevara_-_Side_by_Side_-_Market_-_Adigrat_-_Ethiopia_(8707734386).jpg,CC BY-SA 2.0,False,False
039c265c-7824-4623-8e6a-455de2877896,Grand Palace Hotel Meeting Rooms,existing,,False,,,,,,,,,no_match,,,,,,False,False
03a350a1-6dbb-4dcb-a64a-20c725d254b9,Gondar City Center & Imperial Precincts,existing,,False,,,,,,,,,no_match,,,,,,False,False
03b49d09-289b-46f3-a0a6-911ce7e8b65c,Chebera Churchura National Park,existing,,False,,,,,,,,,matched,destination-images/chebera-churchura-national-park/cover.webp,1.0,Chebera Churchura National Park,https://commons.wikimedia.org/wiki/File:A_photographer_capturing_hippopotamus_in_at_Chebera_Churchura_National_Park.jpg,CC BY-SA 4.0,True,True
03fdc7fc-8467-46cf-a763-6e088fde3e14,Dembel City Center Ramp Outlets,existing,,False,,,,,,,,,no_match,,,,,,False,False
03fee98a-a4f1-406e-ac0b-2db9aa5a2915,Mizan Teferi Agro-Forestry Training Projects,existing,,False,,,,,,,,,no_match,,,,,,False,False
042b6c47-eb1e-4060-b3ae-61f66693e65e,Debre Libanos Monastery (Shewa),existing,,False,,,,,,,,,disabled,,,,,,False,False
04bb43b1-4136-46a9-923e-e6eb3baaa15d,Debre Libanos Historic Monastery Grounds,existing,,False,,,,,,,,,no_match,,,,,,False,False
04c8c45f-4738-457f-bf20-218105ff3170,Kambaata Highland Agriculture Terraces,existing,,False,,,,,,,,,no_match,,,,,,False,False
04ea15b4-829e-4e66-9db0-208eb90ce212,Chencha Dorze Public Bamboo Trail,existing,,False,,,,,,,,,matched,destination-images/chencha-dorze-public-bamboo-trail/cover.webp,0.5,chencha dorze,https://commons.wikimedia.org/wiki/File:Chencha_market_02.jpg,CC BY-SA 3.0,True,True
051f97af-5ce3-4bb0-853a-7c6ae6c5903b,Jan Meda Public Park,existing,,False,,,,,,,,,matched,destination-images/jan-meda-public-park/cover.webp,1.0,jan meda addis,https://commons.wikimedia.org/wiki/File:Temkat_Celebration_Addis_Ababa_Jan_Meda.jpg,CC BY-SA 4.0,True,True
055d7202-aec8-4194-afdf-f775c86e4cd5,Harari Rural Farming Outskirts,existing,,False,,,,,,,,,matched,destination-images/harari-rural-farming-outskirts/cover.webp,0.5,harari outskirts,https://commons.wikimedia.org/wiki/File:Harari_Lanscape_(2203213748).jpg,CC BY 2.0,True,True
0561e3f5-fc79-4bc0-a204-848d49c202f8,Senkele Hartebeest Sanctuary Conservation Base,existing,,False,,,,,,,,,no_match,,,,,,False,False
0562a30c-63b6-4c1a-9d52-8cc443b9d1f1,Kuriftu Resort & Spa Lakefront Luxury,existing,,False,,,,,,,,,no_match,,,,,,False,False
0576571c-aa6c-4d55-9f83-39ad11d50442,Axum Stelae Artisans Market,existing,,False,,,,,,,,,no_match,,,,,,False,False
0601c42b-9a91-41fe-a460-4708f4d35127,Gura Dhamole Rural Belt,existing,,False,,,,,,,,,no_match,,,,,,False,False
0621462d-39b6-421d-93c2-36425fc9ba8c,Gotera & Sarbet Metropolitan Belts,existing,,False,,,,,,,,,no_match,,,,,,False,False
06546a02-bb0a-491b-8fa5-4c3ecb590753,Marriott Executive Apartments Sauna & Wellness,existing,,False,,,,,,,,,no_match,,,,,,False,False
065fbdd8-f6fe-4fd6-ade7-38b70500f4f3,Jinka Saturday Tribal Market,existing,,False,,,,,,,,,no_match,,,,,,False,False
06692b34-d8e7-4a29-bf58-74a899324989,Mekelle Relief & Rehabilitation Projects,existing,,False,,,,,,,,,no_match,,,,,,False,False
06929243-25f5-4b7f-818e-6770c4fd6500,Gofa Cultural Highlands,existing,,False,,,,,,,,,no_match,,,,,,False,False
069a3989-4cef-4a1f-9d1b-4adee39e6660,Science Museum Complex,existing,,False,,,,,,,,,no_match,,,,,,False,False
06e8bf00-f0ca-4393-b9a2-c04eb25fb2bc,Grand Royal Hotel Conference Center,existing,,False,,,,,,,,,no_match,,,,,,False,False
